;Timestamp [s],Timediff[탎],Trigger Type,Event Type,Data,Data,Data,Data
0.000000,+1332170382000000탎,,Realtime (83),Mon Mar 19 15:19:42 2012
0.000000,+0탎,Single,Session Start (4484),ID:c0015b89
0.000000,+0탎,On/Off,BUS INFO (4c2),ch:1,Baudrate:1443, Silent:1, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
0.000000,+0탎,On/Off,BUS INFO (84c2),ch:2,Baudrate:1443, Silent:0, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
143.805651,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,08,00,00,00,00,00,00,
143.806131,+480탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,7b,00,00,
143.806607,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fa,00,00,
143.807067,+460탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,c7,79,8a,39,1f,f6,03,
143.807515,+448탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,311,data:,bd,72,87,3d,bc,d4,dc,0c,
143.807967,+452탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,312,data:,bf,88,f5,c3,bf,d8,51,ec,
143.808423,+456탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,313,data:,3f,35,c2,8f,3f,78,42,a8,
143.808979,+556탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00400,data:,f0,7d,88,89,12,00,ff,88,
143.809263,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,cf00a01
143.809851,+588탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,10fe6f00,data:,ff,ff,ff,ff,ff,ff,ff,ff,
143.810131,+280탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,10f01a01
143.810415,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,10fda301
143.810699,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fdd001
143.810987,+288탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fedb01
143.811271,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fd9401
143.811551,+280탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18feca01
143.812120,+569탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14fef121,data:,f7,ff,ff,0f,ff,ff,ff,ff,
143.812404,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fe9701
143.812692,+288탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fe9801
143.813256,+564탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,301,data:,09,6f,a7,3e,0a,b8,0c,98,
143.813816,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,302,data:,1d,35,19,85,00,05,83,f9,
143.814396,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,303,data:,00,00,00,00,03,63,8c,01,
143.814992,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,304,data:,00,00,00,00,00,00,00,00,
143.815576,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,305,data:,00,00,49,c7,00,00,00,00,
143.816164,+588탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,09,00,00,00,00,00,00,
143.816644,+480탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,77,00,00,
143.817120,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fa,00,00,
143.817572,+452탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,d8,f4,da,36,b3,ca,50,
143.818016,+444탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,311,data:,bd,2a,99,49,bc,4e,19,52,
143.818472,+456탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,312,data:,bf,78,51,ec,be,f5,c2,8f,
143.818932,+460탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,313,data:,3f,d4,7a,e1,3f,78,72,0c,
143.819488,+556탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00400,data:,f0,7d,88,89,12,00,ff,88,
143.819772,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fe9901
